
Project information
com.salesforceiq.augmenteddriver:AugmentedDriver (1184718)	org.slf4j:slf4j-api (341980)	Package Manager: Maven
RepoID: 3694450
Tag information:

Project A:
ProjectVersionFixed(version=1.0, dependency=null, time=2015-11-16 16:08:57 UTC)
ProjectVersionFixed(version=1.0.1, dependency=null, time=2015-11-17 18:10:07 UTC)
ProjectVersionFixed(version=1.0.2, dependency=null, time=2015-11-18 18:05:56 UTC)
ProjectVersionFixed(version=1.0.3, dependency=null, time=2015-11-18 23:18:51 UTC)
ProjectVersionFixed(version=1.0.4, dependency=null, time=2015-11-20 17:51:17 UTC)
ProjectVersionFixed(version=1.0.5, dependency=null, time=2015-11-20 18:15:16 UTC)
ProjectVersionFixed(version=1.0.6, dependency=null, time=2015-11-20 18:31:42 UTC)
ProjectVersionFixed(version=1.0.7, dependency=null, time=2015-11-20 18:37:31 UTC)
ProjectVersionFixed(version=1.0.8, dependency=null, time=2015-11-20 18:58:34 UTC)
ProjectVersionFixed(version=1.0.9, dependency=null, time=2015-11-20 20:41:10 UTC)
ProjectVersionFixed(version=1.0.10, dependency=null, time=2015-11-20 22:17:14 UTC)
ProjectVersionFixed(version=1.0.11, dependency=null, time=2015-11-23 16:51:38 UTC)
ProjectVersionFixed(version=1.0.12, dependency=null, time=2015-11-23 18:08:15 UTC)
ProjectVersionFixed(version=1.0.13, dependency=null, time=2015-11-23 20:49:02 UTC)
ProjectVersionFixed(version=1.0.14, dependency=null, time=2015-11-23 21:20:16 UTC)
ProjectVersionFixed(version=1.0.15, dependency=null, time=2015-11-24 22:01:16 UTC)
ProjectVersionFixed(version=1.0.16, dependency=null, time=2015-11-29 21:48:51 UTC)
ProjectVersionFixed(version=1.0.17, dependency=null, time=2015-11-30 17:58:34 UTC)
ProjectVersionFixed(version=1.0.18, dependency=null, time=2015-12-09 23:20:31 UTC)
ProjectVersionFixed(version=1.0.19, dependency=null, time=2015-12-12 23:59:01 UTC)
ProjectVersionFixed(version=1.0.22, dependency=null, time=2016-01-14 16:48:13 UTC)
ProjectVersionFixed(version=1.0.23, dependency=null, time=2016-01-15 17:04:10 UTC)
ProjectVersionFixed(version=1.0.24, dependency=null, time=2016-01-15 19:44:13 UTC)
ProjectVersionFixed(version=1.0.25, dependency=null, time=2016-01-15 21:55:26 UTC)
ProjectVersionFixed(version=1.0.26, dependency=null, time=2016-01-18 19:22:04 UTC)
ProjectVersionFixed(version=1.1.2, dependency=null, time=2016-01-25 17:01:20 UTC)
ProjectVersionFixed(version=1.1.7, dependency=null, time=2016-02-07 04:35:37 UTC)
ProjectVersionFixed(version=1.1.10, dependency=null, time=2016-02-07 19:42:49 UTC)
ProjectVersionFixed(version=1.1.11, dependency=null, time=2016-02-07 22:51:18 UTC)
ProjectVersionFixed(version=1.1.12, dependency=1.7.18, time=2016-03-05 05:18:55 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.0, dependency=1.7.18, time=2016-03-13 18:04:21 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.1, dependency=1.7.18, time=2016-03-13 20:45:48 UTC),	Latest, "null"

ProjectVersionFixed(version=1.2.2, dependency=1.7.18, time=2016-03-15 02:23:34 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.2.3, dependency=1.7.18, time=2016-03-15 16:32:59 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.2.4, dependency=1.7.18, time=2016-03-15 17:47:38 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.3.0, dependency=1.7.18, time=2016-03-21 18:49:11 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.3.1, dependency=1.7.18, time=2016-03-23 18:05:11 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.4.0, dependency=1.7.18, time=2016-03-23 21:49:06 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.4.1, dependency=1.7.18, time=2016-03-25 16:15:54 UTC),	Latest, "DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)"

ProjectVersionFixed(version=1.4.2, dependency=1.7.18, time=2016-03-31 18:19:25 UTC),	Latest, "DependencyVersion(version=1.7.20, time=2016-03-29 15:12:21 UTC)"

ProjectVersionFixed(version=1.4.3, dependency=1.7.18, time=2016-05-13 15:09:23 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.5.0, dependency=1.7.18, time=2016-05-29 23:14:29 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.5.1, dependency=1.7.18, time=2016-05-30 00:22:24 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.5.2, dependency=1.7.18, time=2016-06-14 22:51:36 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.5.3, dependency=1.7.18, time=2016-06-30 16:21:40 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.5.4, dependency=1.7.18, time=2016-06-30 17:40:33 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.0, dependency=1.7.18, time=2016-07-06 22:57:48 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.1, dependency=1.7.18, time=2016-07-07 21:25:27 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.2, dependency=1.7.18, time=2016-07-07 22:52:30 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.3, dependency=1.7.18, time=2016-08-10 23:03:23 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.4, dependency=1.7.18, time=2016-08-10 23:43:40 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.5, dependency=1.7.18, time=2016-08-11 00:41:15 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.6, dependency=1.7.18, time=2016-08-11 02:22:03 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.7, dependency=1.7.18, time=2016-10-03 17:04:11 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.8, dependency=1.7.18, time=2016-12-02 18:13:13 UTC),	Latest, "DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)"

ProjectVersionFixed(version=1.6.9, dependency=1.7.18, time=2017-02-22 14:36:13 UTC),	Latest, "DependencyVersion(version=1.7.23, time=2017-02-14 22:31:48 UTC)"

ProjectVersionFixed(version=1.7.0, dependency=1.7.18, time=2017-04-11 20:00:26 UTC),	Latest, "DependencyVersion(version=1.8.0-alpha0, time=2017-04-07 09:46:08 UTC)"

ProjectVersionFixed(version=1.7.1, dependency=1.7.18, time=2017-04-11 20:59:48 UTC),	Latest, "DependencyVersion(version=1.8.0-alpha0, time=2017-04-07 09:46:08 UTC)"

ProjectVersionFixed(version=1.7.3, dependency=1.7.25, time=2017-04-11 22:28:17 UTC),	Latest, "DependencyVersion(version=1.8.0-alpha0, time=2017-04-07 09:46:08 UTC)"

ProjectVersionFixed(version=1.7.4, dependency=1.7.24, time=2017-04-11 22:53:42 UTC),	Latest, "DependencyVersion(version=1.8.0-alpha0, time=2017-04-07 09:46:08 UTC)"

ProjectVersionFixed(version=1.7.5, dependency=1.7.25, time=2017-04-11 22:57:30 UTC),	Latest, "DependencyVersion(version=1.8.0-alpha0, time=2017-04-07 09:46:08 UTC)"

ProjectVersionFixed(version=1.7.6, dependency=1.7.24, time=2017-06-26 19:05:50 UTC),	Latest, "DependencyVersion(version=1.8.0-alpha2, time=2017-04-25 22:12:05 UTC)"

ProjectVersionFixed(version=1.8.0, dependency=1.7.24, time=2017-11-08 16:42:35 UTC),	Latest, "DependencyVersion(version=1.8.0-beta0, time=2017-10-20 12:58:48 UTC)"

ProjectVersionFixed(version=1.8.1, dependency=1.7.24, time=2018-01-18 23:47:06 UTC),	Latest, "DependencyVersion(version=1.8.0-beta0, time=2017-10-20 12:58:48 UTC)"

ProjectVersionFixed(version=1.9.0, dependency=1.7.24, time=2018-03-14 17:44:59 UTC),	Latest, "DependencyVersion(version=1.8.0-beta1, time=2018-01-30 12:23:18 UTC)"


Project B:
DependencyVersion(version=1.1.0, time=2006-12-20 22:31:46 UTC)
DependencyVersion(version=1.1.0-beta0, time=2006-09-17 07:06:55 UTC)
DependencyVersion(version=1.1.0-RC0, time=2006-11-09 20:49:39 UTC)
DependencyVersion(version=1.1.0-RC1, time=2006-11-16 22:48:27 UTC)
DependencyVersion(version=1.2, time=2007-01-24 20:16:40 UTC)
DependencyVersion(version=1.3.0, time=2007-02-25 16:39:36 UTC)
DependencyVersion(version=1.3.1, time=2007-04-15 20:08:43 UTC)
DependencyVersion(version=1.4.0, time=2007-05-22 17:40:34 UTC)
DependencyVersion(version=1.4.1, time=2007-07-04 19:29:19 UTC)
DependencyVersion(version=1.4.2, time=2007-07-12 20:28:52 UTC)
DependencyVersion(version=1.4.3, time=2007-08-20 21:35:38 UTC)
DependencyVersion(version=1.5.0, time=2008-02-26 20:19:40 UTC)
DependencyVersion(version=1.5.0-M0, time=2008-01-29 21:38:55 UTC)
DependencyVersion(version=1.5.10, time=2009-12-02 23:37:22 UTC)
DependencyVersion(version=1.5.11, time=2010-02-25 11:50:49 UTC)
DependencyVersion(version=1.5.2, time=2008-06-09 15:46:10 UTC)
DependencyVersion(version=1.5.3, time=2008-09-12 15:36:23 UTC)
DependencyVersion(version=1.5.4, time=2008-10-16 17:19:09 UTC)
DependencyVersion(version=1.5.5, time=2008-10-17 15:54:35 UTC)
DependencyVersion(version=1.5.6, time=2008-11-21 13:56:43 UTC)
DependencyVersion(version=1.5.7, time=2009-06-10 19:38:51 UTC)
DependencyVersion(version=1.5.8, time=2009-06-11 11:58:03 UTC)
DependencyVersion(version=1.5.9-RC0, time=2009-09-04 18:24:57 UTC)
DependencyVersion(version=1.5.9.RC1, time=2009-10-29 18:37:03 UTC)
DependencyVersion(version=1.6.0, time=2010-05-08 10:45:26 UTC)
DependencyVersion(version=1.6.0-alpha2, time=2010-04-26 05:18:55 UTC)
DependencyVersion(version=1.6.0-RC0, time=2010-04-21 21:02:33 UTC)
DependencyVersion(version=1.6.1, time=2010-07-05 20:29:21 UTC)
DependencyVersion(version=1.6.2, time=2011-08-18 22:13:03 UTC)
DependencyVersion(version=1.6.3, time=2011-10-17 19:55:25 UTC)
DependencyVersion(version=1.6.4, time=2011-10-31 22:45:37 UTC)
DependencyVersion(version=1.6.5, time=2012-06-04 06:18:15 UTC)
DependencyVersion(version=1.6.6, time=2012-06-11 14:41:53 UTC)
DependencyVersion(version=1.7.0, time=2012-09-06 21:54:46 UTC)
DependencyVersion(version=1.7.1, time=2012-09-14 21:11:26 UTC)
DependencyVersion(version=1.7.10, time=2015-01-06 20:11:00 UTC)
DependencyVersion(version=1.7.11, time=2015-03-26 14:10:00 UTC)
DependencyVersion(version=1.7.12, time=2015-03-26 20:50:00 UTC)
DependencyVersion(version=1.7.13, time=2015-11-10 20:14:11 UTC)
DependencyVersion(version=1.7.14, time=2016-01-24 20:47:24 UTC)
DependencyVersion(version=1.7.15, time=2016-02-09 16:29:58 UTC)
DependencyVersion(version=1.7.16, time=2016-02-11 20:26:03 UTC)
DependencyVersion(version=1.7.18, time=2016-02-26 18:51:08 UTC)
DependencyVersion(version=1.7.19, time=2016-03-14 21:34:01 UTC)
DependencyVersion(version=1.7.2, time=2012-10-11 18:55:30 UTC)
DependencyVersion(version=1.7.20, time=2016-03-29 15:12:21 UTC)
DependencyVersion(version=1.7.21, time=2016-04-04 18:36:39 UTC)
DependencyVersion(version=1.7.22, time=2016-12-13 17:05:25 UTC)
DependencyVersion(version=1.7.23, time=2017-02-14 22:31:48 UTC)
DependencyVersion(version=1.7.24, time=2017-02-24 11:05:07 UTC)
DependencyVersion(version=1.7.25, time=2017-03-16 16:36:32 UTC)
DependencyVersion(version=1.7.2.jbossorg-1, time=2013-10-31 17:43:48 UTC)
DependencyVersion(version=1.7.3, time=2013-03-15 10:24:51 UTC)
DependencyVersion(version=1.7.4, time=2013-03-18 14:48:45 UTC)
DependencyVersion(version=1.7.5, time=2013-03-25 20:52:14 UTC)
DependencyVersion(version=1.7.6, time=2014-02-05 22:37:14 UTC)
DependencyVersion(version=1.7.7, time=2014-04-04 11:12:47 UTC)
DependencyVersion(version=1.7.7.jbossorg-1, time=2014-08-01 18:36:16 UTC)
DependencyVersion(version=1.7.8, time=2014-12-14 16:54:34 UTC)
DependencyVersion(version=1.7.9, time=2014-12-16 21:57:19 UTC)
DependencyVersion(version=1.8.0-alpha0, time=2017-04-07 09:46:08 UTC)
DependencyVersion(version=1.8.0-alpha1, time=2017-04-13 13:43:50 UTC)
DependencyVersion(version=1.8.0-alpha2, time=2017-04-25 22:12:05 UTC)
DependencyVersion(version=1.8.0-beta0, time=2017-10-20 12:58:48 UTC)
DependencyVersion(version=1.8.0-beta1, time=2018-01-30 12:23:18 UTC)
DependencyVersion(version=1.8.0-beta2, time=2018-03-21 22:01:42 UTC)
