
Project information
com.avsystem.scex:scex-core_2.12 (3132620)	org.scala-lang:scala-compiler (353184)	Package Manager: Maven
RepoID: 5382462
Repo Owner/Name: AVSystem/scex
Repository type: GitHub

 https://github.com/AVSystem/scex/commit/

Tag information:
CommitInfo{repo='GitHub', hash='1e2ac880cac071718749881de0f3f9ecc0a254a9', version='1.17.0'} 	https://github.com/AVSystem/scex/commit/1e2ac880cac071718749881de0f3f9ecc0a254a9
CommitInfo{repo='GitHub', hash='fae25064b8189129dd05092f23a7e8baeaf8e60f', version='1.17.1'} 	https://github.com/AVSystem/scex/commit/fae25064b8189129dd05092f23a7e8baeaf8e60f
CommitInfo{repo='GitHub', hash='83c9bd83d14d044fe6f5c035187b1ad9fd6114e0', version='1.17.10'} 	https://github.com/AVSystem/scex/commit/83c9bd83d14d044fe6f5c035187b1ad9fd6114e0
CommitInfo{repo='GitHub', hash='f069d547ae1b225fdc09f909bd05f95f784bbd40', version='1.17.11'} 	https://github.com/AVSystem/scex/commit/f069d547ae1b225fdc09f909bd05f95f784bbd40
CommitInfo{repo='GitHub', hash='e85185938794ce532f22144f05399376212b1253', version='1.17.2'} 	https://github.com/AVSystem/scex/commit/e85185938794ce532f22144f05399376212b1253
CommitInfo{repo='GitHub', hash='4587338f5a613fe724ea3ff1033328ed2cb54758', version='1.17.3'} 	https://github.com/AVSystem/scex/commit/4587338f5a613fe724ea3ff1033328ed2cb54758
CommitInfo{repo='GitHub', hash='38a231f644626d31c3299c24ad6b229e0dd4c110', version='1.17.4'} 	https://github.com/AVSystem/scex/commit/38a231f644626d31c3299c24ad6b229e0dd4c110
CommitInfo{repo='GitHub', hash='e7f3c06f2538b5a7ad0c217290f9d0dc01cd3eef', version='1.17.5'} 	https://github.com/AVSystem/scex/commit/e7f3c06f2538b5a7ad0c217290f9d0dc01cd3eef
CommitInfo{repo='GitHub', hash='d9978edcbeeb59d7c183d1658b15746d4d4b60ad', version='1.17.6'} 	https://github.com/AVSystem/scex/commit/d9978edcbeeb59d7c183d1658b15746d4d4b60ad
CommitInfo{repo='GitHub', hash='adb7efc7dda15fbe7d01b800e27523d27a0b5568', version='1.17.7'} 	https://github.com/AVSystem/scex/commit/adb7efc7dda15fbe7d01b800e27523d27a0b5568
CommitInfo{repo='GitHub', hash='f633442c2e7a21a5c46cfb52494a7043910e434a', version='1.17.8'} 	https://github.com/AVSystem/scex/commit/f633442c2e7a21a5c46cfb52494a7043910e434a
CommitInfo{repo='GitHub', hash='6c644a15e24aee1137755052f701869c13820e8d', version='1.17.8.1'} 	https://github.com/AVSystem/scex/commit/6c644a15e24aee1137755052f701869c13820e8d
CommitInfo{repo='GitHub', hash='441d3eb53d7c02ff700b4461f807e37772915e1c', version='1.17.9'} 	https://github.com/AVSystem/scex/commit/441d3eb53d7c02ff700b4461f807e37772915e1c
CommitInfo{repo='GitHub', hash='8c0f55e81ff27e1491d0c8f28b7a49f9b1104fbc', version='v1.18.1'} 	https://github.com/AVSystem/scex/commit/8c0f55e81ff27e1491d0c8f28b7a49f9b1104fbc
CommitInfo{repo='GitHub', hash='ff2e18241d9029f9366d9d9e9cddd4069d25d90e', version='v1.18.2'} 	https://github.com/AVSystem/scex/commit/ff2e18241d9029f9366d9d9e9cddd4069d25d90e
CommitInfo{repo='GitHub', hash='a4e0bf3d8d8dd4f3988fb4a82d0e67a52368a4b4', version='v1.19.2'} 	https://github.com/AVSystem/scex/commit/a4e0bf3d8d8dd4f3988fb4a82d0e67a52368a4b4
CommitInfo{repo='GitHub', hash='080ac98da9ed17e65a92f2d847592e0736ac9bd3', version='v1.20.0'} 	https://github.com/AVSystem/scex/commit/080ac98da9ed17e65a92f2d847592e0736ac9bd3
CommitInfo{repo='GitHub', hash='0cc10de74d20b18af2c25a93a25703de5723193a', version='v1.20.1'} 	https://github.com/AVSystem/scex/commit/0cc10de74d20b18af2c25a93a25703de5723193a
CommitInfo{repo='GitHub', hash='33f97f43fba10c3e179fb0a6c60aa4cc19809f86', version='v1.20.2'} 	https://github.com/AVSystem/scex/commit/33f97f43fba10c3e179fb0a6c60aa4cc19809f86
CommitInfo{repo='GitHub', hash='729d7c7272f46bcaba404599c9813d3255b24c71', version='v1.20.3'} 	https://github.com/AVSystem/scex/commit/729d7c7272f46bcaba404599c9813d3255b24c71
CommitInfo{repo='GitHub', hash='09db59e609aa6c50fab1d3d5a715d5e97471c191', version='v1.20.4'} 	https://github.com/AVSystem/scex/commit/09db59e609aa6c50fab1d3d5a715d5e97471c191
CommitInfo{repo='GitHub', hash='622139329db43af2ab242602fe5473b6d064a68e', version='v1.20.5'} 	https://github.com/AVSystem/scex/commit/622139329db43af2ab242602fe5473b6d064a68e
CommitInfo{repo='GitHub', hash='4efe33310eb2bac18663308f6056d5c7b0ca0391', version='v1.21.0'} 	https://github.com/AVSystem/scex/commit/4efe33310eb2bac18663308f6056d5c7b0ca0391
CommitInfo{repo='GitHub', hash='ada1365b1899024d5b761040d167b03c8d4ff05e', version='v1.21.2'} 	https://github.com/AVSystem/scex/commit/ada1365b1899024d5b761040d167b03c8d4ff05e
CommitInfo{repo='GitHub', hash='f7504cde329f75b6bf2947ae73b11924cc02f735', version='v1.21.3'} 	https://github.com/AVSystem/scex/commit/f7504cde329f75b6bf2947ae73b11924cc02f735
CommitInfo{repo='GitHub', hash='7ad334b75d1d74553894f549fb53e2e3aa832122', version='v1.22.0'} 	https://github.com/AVSystem/scex/commit/7ad334b75d1d74553894f549fb53e2e3aa832122

Project A:
ProjectVersionFixed(version=1.18.0, dependency=2.12.1, time=2017-02-01 16:16:57 UTC),	Latest, "null"

ProjectVersionFixed(version=1.18.1, dependency=2.12.1, time=2017-03-27 10:51:25 UTC),	Latest, "null"

ProjectVersionFixed(version=1.18.2, dependency=2.12.1, time=2017-05-24 13:13:22 UTC),	Latest, "DependencyVersion(version=2.13.0-M1, time=2017-04-14 06:18:47 UTC)"

ProjectVersionFixed(version=1.19.0, dependency=2.12.2, time=2017-07-13 12:44:52 UTC),	Latest, "DependencyVersion(version=2.13.0-M1, time=2017-04-14 06:18:47 UTC)"

ProjectVersionFixed(version=1.19.2, dependency=2.12.3, time=2017-09-19 10:12:10 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.20.0, dependency=2.12.4, time=2017-10-25 10:56:07 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.20.1, dependency=2.12.3, time=2017-10-25 12:58:15 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.20.2, dependency=2.12.4, time=2017-11-30 16:00:35 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.20.3, dependency=2.12.4, time=2018-01-17 12:52:12 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.20.4, dependency=2.12.4, time=2018-01-18 12:36:51 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.20.5, dependency=2.12.4, time=2018-08-21 11:40:02 UTC),	Latest, "DependencyVersion(version=2.13.0-M4, time=2018-05-14 17:24:45 UTC)"

ProjectVersionFixed(version=1.21.0, dependency=2.12.4, time=2018-01-19 15:16:11 UTC),	Latest, "DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)"

ProjectVersionFixed(version=1.21.1, dependency=2.12.4, time=2018-03-26 13:26:29 UTC),	Latest, "DependencyVersion(version=2.13.0-M3-f73b161, time=2018-03-22 15:19:23 UTC)"

ProjectVersionFixed(version=1.21.2, dependency=null, time=2018-03-27 11:26:32 UTC)
ProjectVersionFixed(version=1.21.3, dependency=null, time=2018-06-07 08:52:31 UTC)
ProjectVersionFixed(version=1.22.0, dependency=null, time=2018-07-13 14:11:36 UTC)

Project B:
DependencyVersion(version=2.10.0, time=2012-12-20 07:29:46 UTC)
DependencyVersion(version=2.10.0-M1, time=2012-01-19 18:50:59 UTC)
DependencyVersion(version=2.10.0-M1-virtualized, time=2012-01-24 16:38:05 UTC)
DependencyVersion(version=2.10.0-M1-virtualized.rdev-4217-2012-01-24-g9118644, time=2012-01-24 16:33:10 UTC)
DependencyVersion(version=2.10.0-M2, time=2012-02-20 21:21:46 UTC)
DependencyVersion(version=2.10.0-M3, time=2012-04-29 14:50:43 UTC)
DependencyVersion(version=2.10.0-M4, time=2012-06-12 19:11:55 UTC)
DependencyVersion(version=2.10.0-M5, time=2012-07-12 11:32:08 UTC)
DependencyVersion(version=2.10.0-M6, time=2012-07-26 17:32:08 UTC)
DependencyVersion(version=2.10.0-M7, time=2012-08-21 03:03:49 UTC)
DependencyVersion(version=2.10.0-RC1, time=2012-10-12 11:04:24 UTC)
DependencyVersion(version=2.10.0-RC2, time=2012-11-05 14:22:38 UTC)
DependencyVersion(version=2.10.0-RC3, time=2012-11-21 19:38:55 UTC)
DependencyVersion(version=2.10.0-RC4, time=2012-12-05 18:49:01 UTC)
DependencyVersion(version=2.10.0-RC5, time=2012-12-05 23:42:34 UTC)
DependencyVersion(version=2.10.1, time=2013-03-12 23:07:11 UTC)
DependencyVersion(version=2.10.1-RC1, time=2013-02-11 23:57:40 UTC)
DependencyVersion(version=2.10.1-RC2, time=2013-02-27 18:01:40 UTC)
DependencyVersion(version=2.10.1-RC3, time=2013-03-04 19:26:30 UTC)
DependencyVersion(version=2.10.2, time=2013-06-06 18:06:23 UTC)
DependencyVersion(version=2.10.2-RC1, time=2013-05-21 21:10:25 UTC)
DependencyVersion(version=2.10.2-RC2, time=2013-05-30 20:37:47 UTC)
DependencyVersion(version=2.10.3, time=2013-09-27 09:45:51 UTC)
DependencyVersion(version=2.10.3-RC1, time=2013-08-17 00:19:58 UTC)
DependencyVersion(version=2.10.3-RC2, time=2013-09-13 13:49:24 UTC)
DependencyVersion(version=2.10.3-RC3, time=2013-09-23 14:21:07 UTC)
DependencyVersion(version=2.10.4, time=2014-03-18 21:47:36 UTC)
DependencyVersion(version=2.10.4-RC1, time=2013-12-12 20:38:29 UTC)
DependencyVersion(version=2.10.4-RC2, time=2014-01-21 17:23:22 UTC)
DependencyVersion(version=2.10.4-RC3, time=2014-02-11 08:50:07 UTC)
DependencyVersion(version=2.10.5, time=2015-02-27 01:54:57 UTC)
DependencyVersion(version=2.10.6, time=2015-09-18 09:35:46 UTC)
DependencyVersion(version=2.10.7, time=2017-11-03 20:07:13 UTC)
DependencyVersion(version=2.11.0, time=2014-04-16 09:14:04 UTC)
DependencyVersion(version=2.11.0-M1, time=2013-01-07 22:54:01 UTC)
DependencyVersion(version=2.11.0-M2, time=2013-03-14 18:01:54 UTC)
DependencyVersion(version=2.11.0-M3, time=2013-05-20 13:52:56 UTC)
DependencyVersion(version=2.11.0-M4, time=2013-07-11 08:23:27 UTC)
DependencyVersion(version=2.11.0-M5, time=2013-09-07 01:54:11 UTC)
DependencyVersion(version=2.11.0-M6, time=2013-10-15 21:31:35 UTC)
DependencyVersion(version=2.11.0-M7, time=2013-11-18 20:03:03 UTC)
DependencyVersion(version=2.11.0-M8, time=2014-01-19 22:58:51 UTC)
DependencyVersion(version=2.11.0-RC1, time=2014-02-28 06:01:09 UTC)
DependencyVersion(version=2.11.0-RC3, time=2014-03-19 02:06:51 UTC)
DependencyVersion(version=2.11.0-RC4, time=2014-04-04 21:12:56 UTC)
DependencyVersion(version=2.11.1, time=2014-05-19 18:34:00 UTC)
DependencyVersion(version=2.11.10, time=2017-04-05 17:22:05 UTC)
DependencyVersion(version=2.11.11, time=2017-04-13 19:50:48 UTC)
DependencyVersion(version=2.11.12, time=2017-11-03 01:37:41 UTC)
DependencyVersion(version=2.11.2, time=2014-07-23 06:39:00 UTC)
DependencyVersion(version=2.11.3, time=2014-10-10 17:33:59 UTC)
DependencyVersion(version=2.11.4, time=2014-10-23 15:35:21 UTC)
DependencyVersion(version=2.11.4-TESTING-ci, time=2015-01-07 21:19:00 UTC)
DependencyVersion(version=2.11.5, time=2015-01-07 00:32:00 UTC)
DependencyVersion(version=2.11.6, time=2015-02-26 01:01:00 UTC)
DependencyVersion(version=2.11.7, time=2015-06-22 20:18:18 UTC)
DependencyVersion(version=2.11.7-2, time=2016-04-21 01:27:10 UTC)
DependencyVersion(version=2.11.8, time=2016-02-25 01:13:30 UTC)
DependencyVersion(version=2.11.8-1, time=2016-11-01 21:05:56 UTC)
DependencyVersion(version=2.11.8-18269ea, time=2017-01-05 21:03:21 UTC)
DependencyVersion(version=2.11.8-b00cb4b-nightly, time=2015-11-24 06:10:52 UTC)
DependencyVersion(version=2.11.9, time=2017-03-28 07:15:44 UTC)
DependencyVersion(version=2.12.0, time=2016-10-28 23:09:08 UTC)
DependencyVersion(version=2.12.0-M0, time=2015-04-16 11:14:25 UTC)
DependencyVersion(version=2.12.0-M1, time=2015-05-01 16:28:14 UTC)
DependencyVersion(version=2.12.0-M2, time=2015-07-10 03:45:04 UTC)
DependencyVersion(version=2.12.0-M3, time=2015-10-05 14:26:20 UTC)
DependencyVersion(version=2.12.0-M3-dc9effe, time=2016-03-18 05:23:28 UTC)
DependencyVersion(version=2.12.0-M4, time=2016-04-01 21:46:51 UTC)
DependencyVersion(version=2.12.0-M4-9901daf, time=2016-06-28 19:47:45 UTC)
DependencyVersion(version=2.12.0-M5, time=2016-06-29 10:47:13 UTC)
DependencyVersion(version=2.12.0-RC1, time=2016-09-06 18:49:05 UTC)
DependencyVersion(version=2.12.0-RC1-1e81a09, time=2016-10-13 05:47:34 UTC)
DependencyVersion(version=2.12.0-RC1-be43eb5, time=2016-09-16 08:30:41 UTC)
DependencyVersion(version=2.12.0-RC1-ceaf419, time=2016-09-27 07:51:14 UTC)
DependencyVersion(version=2.12.0-RC2, time=2016-10-14 19:53:55 UTC)
DependencyVersion(version=2.12.1, time=2016-12-05 11:10:38 UTC)
DependencyVersion(version=2.12.2, time=2017-04-13 08:20:21 UTC)
DependencyVersion(version=2.12.3, time=2017-07-25 10:45:30 UTC)
DependencyVersion(version=2.12.4, time=2017-10-11 07:41:58 UTC)
DependencyVersion(version=2.12.5, time=2018-03-16 13:50:33 UTC)
DependencyVersion(version=2.12.6, time=2018-04-27 08:42:27 UTC)
DependencyVersion(version=2.12.7, time=2018-09-27 08:37:28 UTC)
DependencyVersion(version=2.13.0-M1, time=2017-04-14 06:18:47 UTC)
DependencyVersion(version=2.13.0-M2, time=2017-07-21 12:50:50 UTC)
DependencyVersion(version=2.13.0-M3, time=2018-01-31 04:20:11 UTC)
DependencyVersion(version=2.13.0-M3-f73b161, time=2018-03-22 15:19:23 UTC)
DependencyVersion(version=2.13.0-M4, time=2018-05-14 17:24:45 UTC)
DependencyVersion(version=2.13.0-M4-pre-20d3c21, time=2018-03-29 09:17:50 UTC)
DependencyVersion(version=2.13.0-M5, time=2018-08-28 02:31:21 UTC)
DependencyVersion(version=2.13.0-M5-6e0cba7, time=2018-11-14 19:33:14 UTC)
DependencyVersion(version=2.3.1, time=2008-11-24 23:36:11 UTC)
DependencyVersion(version=2.3.3, time=2008-11-24 23:36:09 UTC)
DependencyVersion(version=2.4.0, time=2008-11-24 23:36:08 UTC)
DependencyVersion(version=2.4.0-RC1, time=2008-11-24 23:36:02 UTC)
DependencyVersion(version=2.4.0-RC2, time=2008-11-24 23:35:57 UTC)
DependencyVersion(version=2.5.0, time=2008-11-24 23:35:53 UTC)
DependencyVersion(version=2.5.0-RC1, time=2008-11-24 23:35:47 UTC)
DependencyVersion(version=2.5.0-RC2, time=2008-11-24 23:35:46 UTC)
DependencyVersion(version=2.5.1, time=2008-11-24 23:35:36 UTC)
DependencyVersion(version=2.6.0, time=2008-11-24 23:35:26 UTC)
DependencyVersion(version=2.6.0-RC2, time=2008-11-24 23:36:27 UTC)
DependencyVersion(version=2.6.0-RC3, time=2008-11-24 23:35:21 UTC)
DependencyVersion(version=2.6.1, time=2008-11-24 23:35:21 UTC)
DependencyVersion(version=2.6.1-rc1, time=2008-11-24 23:35:20 UTC)
